tourId,departureTimeInSec,departureLocationZone,maxTourDurationInSec,departureLocationX,departureLocationY,mesoZone
b2b-56120,36600,530330292061,43200,-122.24446469392976,47.40086371261762,530330292061.0
b2b-3045,2400,530610519121,43200,-122.11127653943296,47.802012408305124,530610519121.0
b2b-21941,33000,530530732003,43200,-122.23625126082543,46.78419975013134,530110424001.0
b2b-44719,32400,530330238011,43200,-122.19512341649516,47.60985419833947,530330238011.0
b2b-12915,40800,530330049002,43200,-122.35272177681968,47.65236915509596,530330049002.0
b2b-48661,36000,530530729061,43200,-122.55444246185414,47.0496292343141,530670127203.0
b2b-57943,24600,530530713051,43200,-122.39177829555999,47.16286132818289,530530713051.0
b2b-6184,34200,530610531021,43200,-122.18921914405846,48.15037009988364,530610531021.0
b2b-972,35400,530530732003,43200,-122.23625126082543,46.78419975013134,530110406082.0
b2b-19131,13800,530330308011,43200,-122.22962346581873,47.2741944174269,530330308011.0
b2b-49211,43800,530530616021,43200,-122.43295660160148,47.23570247122457,530530616021.0
b2b-12630,22800,530530729061,43200,-122.55444246185414,47.0496292343141,530670108005.0
b2b-47590,45000,530530626001,43200,-122.47988326308155,47.22082755165227,530530626001.0
b2b-10840,25200,530330292061,43200,-122.2235835356382,47.41965485155595,530330292061.0
b2b-46541,25200,530330304011,43200,-122.28102759783717,47.313668921631454,530330304011.0
b2b-23654,34800,530530718071,43200,-122.49168477138532,47.17288289101168,530530718071.0
b2b-11004,27600,530530732003,43200,-122.23625126082543,46.78419975013134,410510073001.0
b2b-317,27000,530610408002,43200,-122.20740921411743,47.97867025191261,530610408002.0
b2b-17243,29400,530530732003,43200,-122.23625126082543,46.78419975013134,410050229011.0
b2b-19795,9000,530330327032,43200,-121.82272353096056,47.52604322530868,530330327032.0
b2b-12440,21000,530330262001,43200,-122.2471516099098,47.448032176849786,530330262001.0
b2b-24915,29400,530330292061,43200,-122.23136301629731,47.422019723667034,530330292061.0
b2b-22246,30000,530330093003,43200,-122.32342734266214,47.56402091064877,530330093003.0
b2b-13740,32400,530330046002,43200,-122.33217641462576,47.66991090729224,530330046002.0
b2b-42263,34200,530610538034,43200,-121.68005023443436,47.84619064045914,530610538034.0
b2b-34414,23400,530610537001,43200,-121.312889303686,48.04692058012603,20034.0
b2b-54617,36000,530330320111,43200,-122.0228827412936,47.36910189719495,530330320111.0
b2b-23922,30600,530330305011,43200,-122.23003236545198,47.345348787637406,530330305011.0
b2b-43215,31800,530530732004,43200,-122.26393595512288,46.919293381051865,20014.0
b2b-23485,32400,530530726032,43200,-122.77438432253852,47.18832179399421,530670109104.0
b2b-884,31800,530610524014,43200,-122.10228964826,47.92912512045848,530610524014.0
b2b-10929,27600,530530732003,43200,-122.23625126082543,46.78419975013134,410430304022.0
b2b-32520,28200,530330099004,43200,-122.35082698493275,47.57111375553166,530330099004.0
b2b-55479,22800,530530732004,43200,-122.26393595512288,46.919293381051865,20012.0
b2b-25452,31800,530330093002,43200,-122.33239672143424,47.58809148769889,530330093002.0
b2b-7073,29400,530610533024,43200,-122.33627610658917,48.27544493019165,530579526003.0
b2b-57136,21600,530350811002,43200,-122.65365560350207,47.5622531720294,530350811002.0
b2b-51234,18000,530330305011,43200,-122.23003236545198,47.345348787637406,530330305011.0
b2b-60665,47400,530530701001,43200,-121.54443576766793,47.120407059214166,20118.0
b2b-21283,31800,530530730061,43200,-122.34181572508957,46.92936683132597,530150003001.0
b2b-11904,35400,530530729061,43200,-122.55444246185414,47.0496292343141,530670126101.0
b2b-38699,24000,530610537001,43200,-121.312889303686,48.04692058012603,20034.0
b2b-57453,29400,530330315022,43200,-121.96238438352478,47.20024957101764,530330315022.0
b2b-16221,46200,530330263001,43200,-122.30052958320069,47.51661766781898,530330263001.0
b2b-52369,22800,530330305011,43200,-122.23003236545198,47.345348787637406,530330305011.0
b2b-56569,20400,530610533014,43200,-122.37107080960885,48.24821342844997,530730002002.0
b2b-41887,32400,530530732004,43200,-122.26393595512288,46.919293381051865,20013.0
b2b-22195,29400,530530732003,43200,-122.23625126082543,46.78419975013134,410510073001.0
b2b-50683,30600,530530728001,43200,-122.64892865109543,47.09854950461892,530670122222.0
b2b-19666,28800,530330047002,43200,-122.37142035796019,47.6670931266057,530330047002.0
b2b-12780,49800,530330066001,43200,-122.32724058826471,47.63019426814261,530330066001.0
b2b-35672,28800,530530718071,43200,-122.49119831954808,47.17411891314004,530530718071.0
b2b-41796,14400,530330328003,43200,-121.10639363815314,47.709093633348175,530019504002.0
b2b-17920,34200,530330033004,43200,-122.38697811934333,47.6769199465592,530330033004.0
b2b-40661,27000,530330292061,43200,-122.24478060082409,47.405845893143145,530330292061.0
b2b-6451,40800,530330099004,43200,-122.35082698493275,47.57111375553166,530330099004.0
b2b-28071,23400,530530718071,43200,-122.49134291817569,47.173524762844664,530530718071.0
b2b-46382,30000,530530732003,43200,-122.23625126082543,46.78419975013134,530110410052.0
b2b-24482,27600,530539400101,43200,-122.30653677963012,47.21171695998523,530539400101.0
b2b-38897,22800,530330292061,43200,-122.24901560507323,47.43022022343849,530330292061.0
b2b-41713,33600,530530728001,43200,-122.64892865109543,47.09854950461892,530670122213.0
b2b-49050,33000,530530726032,43200,-122.77438432253852,47.18832179399421,530670109101.0
b2b-20220,24000,530530726032,43200,-122.77438432253852,47.18832179399421,530670110001.0
b2b-45608,40200,530330032003,43200,-122.39317109275929,47.66795855610536,530330032003.0
b2b-29543,34800,530330237001,43200,-122.16636972859732,47.62596711665903,530330237001.0
b2b-7370,34200,530530701001,43200,-121.54443576766793,47.120407059214166,20095.0
b2b-29015,28800,530530732003,43200,-122.23625126082543,46.78419975013134,530110403023.0
b2b-33114,35400,530530732004,43200,-122.26393595512288,46.919293381051865,20012.0
b2b-61116,31800,530610534001,43200,-122.17484717335668,48.272211211311024,530730102002.0
b2b-46892,38400,530610514005,43200,-122.30116153554891,47.8179072591566,530610514005.0
b2b-60391,26400,530610537001,43200,-121.312889303686,48.04692058012603,20061.0
b2b-30887,41400,530330293052,43200,-122.19724469213678,47.41724973671112,530330293052.0
b2b-30313,46800,530539400022,43200,-122.35897274041128,47.25278630859665,530539400022.0
b2b-50434,28800,530330262001,43200,-122.24717181350287,47.44771333927209,530330262001.0
b2b-11349,43800,530610419032,43200,-122.2688204465928,47.920331949320925,530610419032.0
b2b-6930,45000,530610533014,43200,-122.37107080960885,48.24821342844997,530579521003.0
b2b-51935,39600,530539400101,43200,-122.30653677963012,47.21171695998523,530539400101.0
b2b-53021,22200,530530732004,43200,-122.26393595512288,46.919293381051865,20012.0
b2b-57840,35400,530330305011,43200,-122.22527730622068,47.34540380859164,530330305011.0
b2b-45687,37800,530330253012,43200,-122.2011114736376,47.51926391009713,530330253012.0
b2b-53101,33000,530610537001,43200,-121.312889303686,48.04692058012603,20127.0
b2b-17512,34800,530330218033,43200,-122.20322758297308,47.7605970555543,530330218033.0
b2b-36126,38400,530610519121,43200,-122.14315524804893,47.78945858767258,530610519121.0
b2b-53333,45000,530330292061,43200,-122.22513682781825,47.431742240111376,530330292061.0
b2b-8708,34200,530330238011,43200,-122.18912103078463,47.6091380246081,530330238011.0
b2b-47370,41400,530530717041,43200,-122.47186629395505,47.16206944742384,530530717041.0
b2b-60942,27000,530530726032,43200,-122.77438432253852,47.18832179399421,530670110001.0
b2b-9954,35400,530610537001,43200,-121.312889303686,48.04692058012603,20066.0
b2b-36697,27600,530530626001,43200,-122.48142674423129,47.22315676250872,530530626001.0
b2b-54729,39000,530530732003,43200,-122.23625126082543,46.78419975013134,410050215002.0
b2b-46527,34200,530330292061,43200,-122.22834520138616,47.42187038261192,530330292061.0
b2b-30797,34200,530330284024,43200,-122.32816372532213,47.44402125441254,530330284024.0
b2b-49300,29400,530530732003,43200,-122.23625126082543,46.78419975013134,410050210002.0
b2b-33771,39600,530530701001,43200,-121.54443576766793,47.120407059214166,20009.0
b2b-56224,18600,530330315022,43200,-121.96402383369373,47.20013223808019,530330315022.0
b2b-55859,9600,530530730061,43200,-122.34181572508957,46.92936683132597,410670329012.0
b2b-44550,24600,530610509003,43200,-122.34079715664308,47.77858204747406,530610509003.0
b2b-14986,36600,530330218021,43200,-122.19015339735937,47.77206430747269,530330218021.0
b2b-29825,31200,530330109001,43200,-122.31502408656256,47.53440018906854,530330109001.0
b2b-7807,25800,530610533023,43200,-122.3247973536394,48.28842303954262,530579516003.0
b2b-53560,37200,530610535091,43200,-122.15176363135897,48.15667199362626,530610535091.0
b2b-18487,14400,530330262001,43200,-122.21687413762376,47.44960652627248,530330262001.0
b2b-47661,9600,530530733013,43200,-122.22632711414617,47.22237824054556,530530733013.0
b2b-54762,26400,530330303132,43200,-122.30590062664312,47.29634204750628,530330303132.0
b2b-21561,34200,530610533014,43200,-122.37107080960885,48.24821342844997,530579519002.0
b2b-58490,40800,530530715034,43200,-122.46670724310545,47.151925397118255,530530715034.0
b2b-16145,34800,530330109001,43200,-122.30733026336057,47.53128570500117,530330109001.0
b2b-11807,30000,530530701001,43200,-121.54443576766793,47.120407059214166,20095.0
b2b-42076,23400,530530701001,43200,-121.54443576766793,47.120407059214166,20118.0
b2b-3588,25800,530610413042,43200,-122.24394703768654,47.927411439647834,530610413042.0
b2b-25701,34800,530330292061,43200,-122.24472160310586,47.43301366786744,530330292061.0
b2b-29524,42600,530610533014,43200,-122.37107080960885,48.24821342844997,530730002002.0
b2b-28681,21000,530530732003,43200,-122.23625126082543,46.78419975013134,410470025021.0
b2b-47855,33000,530530626001,43200,-122.45055140915566,47.23431899930199,530530626001.0
b2b-21826,47400,530530732003,43200,-122.23625126082543,46.78419975013134,410510072021.0
b2b-12606,27000,530330218021,43200,-122.18437390447706,47.77523207279529,530330218021.0
b2b-52590,25800,530330292061,43200,-122.22834520138616,47.42187038261192,530330292061.0
b2b-30113,25200,530539400022,43200,-122.39688590845752,47.24395008519793,530539400022.0
b2b-9936,35400,530610537001,43200,-121.312889303686,48.04692058012603,20066.0
b2b-54230,45000,530530732004,43200,-122.26393595512288,46.919293381051865,20014.0
b2b-13607,28200,530330277015,43200,-122.46166041837853,47.43423585507254,530330277015.0
b2b-25508,25200,530610413042,43200,-122.25330046367787,47.924146431216194,530610413042.0
b2b-23054,30600,530530703133,43200,-122.19204184060762,47.1980704655966,530530703133.0
b2b-33057,10800,530530732004,43200,-122.26393595512288,46.919293381051865,20012.0
b2b-50799,30000,530530729061,43200,-122.55444246185414,47.0496292343141,530419710003.0
b2b-56853,21000,530530732003,43200,-122.23625126082543,46.78419975013134,530110413171.0
b2b-52456,36000,530330292061,43200,-122.22834520138616,47.42187038261192,530330292061.0
b2b-55173,42000,530330320111,43200,-122.02261436198458,47.36882833500939,530330320111.0
b2b-12505,35400,530330323133,43200,-122.0834278878703,47.67577485264337,530330323133.0
b2b-29783,44400,530330093003,43200,-122.33781074015684,47.57150093310607,530330093003.0
b2b-16827,23400,530330228033,43200,-122.12371958474344,47.6463306257029,530330228033.0
b2b-35291,29400,530610534001,43200,-122.17484717335668,48.272211211311024,530730102002.0
b2b-579,18600,530610537001,43200,-121.312889303686,48.04692058012603,530630116001.0
b2b-3378,33000,530530732003,43200,-122.23625126082543,46.78419975013134,410050221081.0
b2b-20217,24000,530530726032,43200,-122.77438432253852,47.18832179399421,530670110001.0
b2b-60651,31200,530330284024,43200,-122.32205675998875,47.44153151233887,530330284024.0
b2b-18439,30600,530330105005,43200,-122.38830386022074,47.56118978395354,530330105005.0
b2b-9660,16800,530530701001,43200,-121.54443576766793,47.120407059214166,20009.0
b2b-33487,35400,530530732004,43200,-122.26393595512288,46.919293381051865,20012.0
b2b-48009,30000,530610537001,43200,-121.312889303686,48.04692058012603,530630117011.0
b2b-30904,42600,530350802002,43200,-122.62907695537795,47.60302531363185,530350802002.0
b2b-40027,23400,530530732004,43200,-122.26393595512288,46.919293381051865,20012.0
b2b-48512,35400,530530726021,43200,-122.72819323744886,47.354606212077044,530530726021.0
b2b-26351,31800,530330292061,43200,-122.2235835356382,47.41965485155595,530330292061.0
b2b-31401,37800,530330315021,43200,-121.36939910435089,47.14804914214533,20033.0
b2b-60520,27600,530610413042,43200,-122.26274299746264,47.938864443246594,530610413042.0
b2b-31124,27000,530530732004,43200,-122.26393595512288,46.919293381051865,20012.0
b2b-58593,37800,530330288013,43200,-122.29978682083382,47.41404252517009,530330288013.0
b2b-35009,25800,530330283003,43200,-122.25198503629612,47.42872998511336,530330283003.0
b2b-41203,22200,530610537001,43200,-121.312889303686,48.04692058012603,530630112014.0
b2b-2412,3600,530530729061,43200,-122.55444246185414,47.0496292343141,530419715003.0
b2b-9469,34200,530530728001,43200,-122.64892865109543,47.09854950461892,530670122222.0
b2b-7103,34800,530610533024,43200,-122.33627610658917,48.27544493019165,530579518002.0
b2b-30467,17400,530330314004,43200,-121.99779172024172,47.20697561366894,530330314004.0
b2b-13890,30000,530330218021,43200,-122.18474513918032,47.77203185836266,530330218021.0
b2b-60418,41400,530610533014,43200,-122.37107080960885,48.24821342844997,530730001003.0
b2b-39873,31200,530530732003,43200,-122.23625126082543,46.78419975013134,410510072021.0
b2b-14020,28200,530330323133,43200,-122.0947753366989,47.67309761799182,530330323133.0
b2b-58319,42000,530330292061,43200,-122.24416371704082,47.41881614637826,530330292061.0
b2b-14884,34200,530530729061,43200,-122.55444246185414,47.0496292343141,530670125302.0
b2b-17881,45000,530330322101,43200,-121.94162589990484,47.5299603198555,530330322101.0
b2b-44870,33600,530610537001,43200,-121.312889303686,48.04692058012603,20046.0
b2b-43203,24000,530610533014,43200,-122.37107080960885,48.24821342844997,530730104042.0
b2b-29554,22800,530330292061,43200,-122.24478060082409,47.405845893143145,530330292061.0
b2b-41440,32400,530330315021,43200,-121.36939910435089,47.14804914214533,530770014001.0
b2b-8485,22200,530330093003,43200,-122.32342734266214,47.56402091064877,530330093003.0
b2b-58909,20400,530330292061,43200,-122.24942096101488,47.40436784570079,530330292061.0
b2b-25489,28200,530330284024,43200,-122.32816372532213,47.44402125441254,530330284024.0
b2b-36690,21600,530330093002,43200,-122.33834818324593,47.58954388813943,530330093002.0
b2b-36497,31200,530330292061,43200,-122.23136301629731,47.422019723667034,530330292061.0
b2b-29395,25200,530530732003,43200,-122.23625126082543,46.78419975013134,410510099073.0
b2b-12989,39600,530330305011,43200,-122.23365186191168,47.31231621291003,530330305011.0
b2b-14184,28200,530330323133,43200,-122.0947753366989,47.67309761799182,530330323133.0
b2b-11274,30600,530330292061,43200,-122.26172450913342,47.39944206804464,530330292061.0
b2b-30730,24600,530610537001,43200,-121.312889303686,48.04692058012603,20061.0
b2b-25661,13800,530610419032,43200,-122.2688204465928,47.920331949320925,530610419032.0
b2b-18533,39600,530330238011,43200,-122.1951377118433,47.61053486921202,530330238011.0
b2b-28443,34200,530539400101,43200,-122.32177309013059,47.214407067630894,530539400101.0
b2b-33710,28200,530530732004,43200,-122.26393595512288,46.919293381051865,20012.0
b2b-32409,34200,530530732003,43200,-122.23625126082543,46.78419975013134,410510024023.0
b2b-15631,27000,530330323133,43200,-122.08334866966914,47.67560453535347,530330323133.0
b2b-9607,24000,530330292061,43200,-122.23136301629731,47.422019723667034,530330292061.0
b2b-54334,29400,530330292061,43200,-122.24414018412115,47.42604763687701,530330292061.0
b2b-29483,26400,530530732003,43200,-122.23625126082543,46.78419975013134,410050203021.0
b2b-3744,32400,530330292061,43200,-122.24478060082409,47.405845893143145,530330292061.0
b2b-38533,31200,530610537001,43200,-121.312889303686,48.04692058012603,20091.0
b2b-47711,23400,530530732003,43200,-122.23625126082543,46.78419975013134,410670319121.0
b2b-57161,43800,530539400101,43200,-122.33642860675718,47.218424764579126,530539400101.0
b2b-17806,29400,530330226051,43200,-122.15905159807288,47.71145928298779,530330226051.0
b2b-49952,30000,530530715034,43200,-122.46567746155064,47.151956977320665,530530715034.0
b2b-54197,34200,530330292061,43200,-122.23751749602107,47.40644217363497,530330292061.0
b2b-46709,35400,530539400022,43200,-122.39688590845752,47.24395008519793,530539400022.0
b2b-50636,30600,530530728001,43200,-122.64892865109543,47.09854950461892,530670122222.0
b2b-50920,30000,530530703132,43200,-122.22391530820204,47.22939755919422,530530703132.0
b2b-49510,29400,530539400101,43200,-122.29542948828225,47.20376469999662,530539400101.0
b2b-44285,14400,530330308011,43200,-122.250737607828,47.29448590131384,530330308011.0
b2b-37491,40800,530530732003,43200,-122.23625126082543,46.78419975013134,410430306003.0
b2b-10314,33600,530530732004,43200,-122.26393595512288,46.919293381051865,20012.0
b2b-6742,23400,530610413042,43200,-122.25330046367787,47.924146431216194,530610413042.0
b2b-20922,25200,530330228031,43200,-122.14197938215298,47.65213889371514,530330228031.0
b2b-19192,13800,530330112001,43200,-122.33215064349903,47.53154045052393,530330112001.0
b2b-47995,38400,530530732003,43200,-122.23625126082543,46.78419975013134,410510106001.0
b2b-25767,45600,530330292061,43200,-122.24607585604808,47.4029295646408,530330292061.0
b2b-2882,30600,530610535091,43200,-122.14806955460804,48.17086268059573,530610535091.0
b2b-26785,30000,530610537001,43200,-121.312889303686,48.04692058012603,530630141002.0
b2b-43710,30000,530610537001,43200,-121.312889303686,48.04692058012603,20081.0
b2b-27162,23400,530530718071,43200,-122.49119831954808,47.17411891314004,530530718071.0
b2b-3674,32400,530610537002,43200,-121.73934376395965,48.284889194851665,530610537002.0
b2b-12182,15000,530330075004,43200,-122.31568372053164,47.614253317423554,530330075004.0
b2b-29230,32400,530530732003,43200,-122.23625126082543,46.78419975013134,410510072021.0
b2b-46038,34200,530330292061,43200,-122.2446917414646,47.42066574066641,530330292061.0
b2b-17430,37800,530330093003,43200,-122.32670256201499,47.58561090681461,530330093003.0
b2b-46957,18600,530330303132,43200,-122.30590062664312,47.29634204750628,530330303132.0
b2b-24414,38400,530330300034,43200,-122.31282704591816,47.37242961269296,530330300034.0
b2b-45334,32400,530330315021,43200,-121.36939910435089,47.14804914214533,530770001002.0
b2b-32229,15600,530530732004,43200,-122.26393595512288,46.919293381051865,20010.0
b2b-22735,6000,530530729061,43200,-122.55444246185414,47.0496292343141,530419714002.0
b2b-6166,37200,530330099004,43200,-122.35082698493275,47.57111375553166,530330099004.0
b2b-41856,20400,530530732004,43200,-122.26393595512288,46.919293381051865,20012.0
b2b-55203,31200,530610537001,43200,-121.312889303686,48.04692058012603,20104.0
b2b-24833,42600,530330305011,43200,-122.22878368515985,47.345399906261086,530330305011.0
b2b-35042,40800,530330093002,43200,-122.33239672143424,47.58809148769889,530330093002.0
b2b-337,30000,530610408002,43200,-122.20740921411743,47.97867025191261,530610408002.0
b2b-15697,34200,530330226051,43200,-122.15435035774985,47.709459559083946,530330226051.0
b2b-60087,47400,530330292061,43200,-122.24478060082409,47.405845893143145,530330292061.0
b2b-44599,27600,530330292061,43200,-122.24942096101488,47.40436784570079,530330292061.0
b2b-51426,31800,530330305011,43200,-122.22878368515985,47.345399906261086,530330305011.0
b2b-2043,37800,530610519252,43200,-122.19677309023862,47.79140269195935,530610519252.0
b2b-4469,45600,530330284024,43200,-122.29771243052475,47.44348659314748,530330284024.0
b2b-48962,32400,530530733013,43200,-122.24088535309141,47.22703264707574,530530733013.0
b2b-22884,4200,530330314004,43200,-121.99779172024172,47.20697561366894,530330314004.0
b2b-12390,32400,530330093003,43200,-122.34339365383669,47.57018742110356,530330093003.0
b2b-49537,600,530330297004,43200,-122.22945218379606,47.36485072139298,530330297004.0
b2b-35804,44400,530330320111,43200,-122.0228827412936,47.36910189719495,530330320111.0
b2b-43876,37200,530530732003,43200,-122.23625126082543,46.78419975013134,410510007023.0
b2b-37985,31200,530530732003,43200,-122.23625126082543,46.78419975013134,410510072021.0
b2b-46083,35400,530350918001,43200,-122.62871834323276,47.61697081842823,530350918001.0
b2b-2210,29400,530530732003,43200,-122.23625126082543,46.78419975013134,530110430001.0
b2b-54813,28200,530330262001,43200,-122.24988630060948,47.45282798445118,530330262001.0
b2b-24177,49200,530610413042,43200,-122.24394703768654,47.927411439647834,530610413042.0
b2b-24569,41400,530330284024,43200,-122.29258998292704,47.458908818853615,530330284024.0
b2b-39623,25200,530610537001,43200,-121.312889303686,48.04692058012603,530630114003.0
b2b-9817,30000,530530701001,43200,-121.54443576766793,47.120407059214166,20071.0
b2b-9504,29400,530330315021,43200,-121.36939910435089,47.14804914214533,530770017021.0
b2b-60604,36600,530610413042,43200,-122.24394703768654,47.927411439647834,530610413042.0
b2b-30992,21600,530610534001,43200,-122.17484717335668,48.272211211311024,530730101005.0
b2b-28224,33600,530530732003,43200,-122.23625126082543,46.78419975013134,410430306003.0
b2b-27185,39000,530330292061,43200,-122.24630253743486,47.38821598815996,530330292061.0
b2b-53218,40800,530330093003,43200,-122.34160818463961,47.56955094808952,530330093003.0
b2b-21234,34800,530530732003,43200,-122.23625126082543,46.78419975013134,410050210002.0
b2b-4575,30000,530530701001,43200,-121.54443576766793,47.120407059214166,20095.0
b2b-14669,24000,530530726023,43200,-122.81385136116528,47.26404394844309,530459611003.0
b2b-13172,18600,530330058014,43200,-122.37708242127223,47.65163243005478,530330058014.0
b2b-26024,30000,530530726032,43200,-122.77438432253852,47.18832179399421,530670110001.0
b2b-56794,21000,530350811002,43200,-122.65218698098872,47.565734396511935,530350811002.0
b2b-56714,15000,530610533014,43200,-122.37107080960885,48.24821342844997,530730001003.0
b2b-12598,27000,530330218021,43200,-122.18437390447706,47.77523207279529,530330218021.0
b2b-24555,15000,530330071001,43200,-122.3607157802324,47.62277408295152,530330071001.0
b2b-36471,34200,530330315021,43200,-121.36939910435089,47.14804914214533,530210201003.0
b2b-35152,34800,530330265002,43200,-122.34286852757967,47.51183416260497,530330265002.0
b2b-16138,17400,530330109001,43200,-122.30733026336057,47.53128570500117,530330109001.0
b2b-40315,19800,530530732003,43200,-122.23625126082543,46.78419975013134,410510073001.0
b2b-36434,40200,530330262001,43200,-122.22938315222208,47.47333433730456,530330262001.0
b2b-53465,40800,530539400101,43200,-122.33617810098148,47.22195699658172,530539400101.0
b2b-310,27000,530610408002,43200,-122.20740921411743,47.97867025191261,530610408002.0
b2b-44883,23400,530610537001,43200,-121.312889303686,48.04692058012603,20069.0
b2b-2989,39600,530610537002,43200,-121.72097496832643,48.28404505075453,530610537002.0
b2b-11909,30600,530610533014,43200,-122.37107080960885,48.24821342844997,530730001003.0
b2b-4447,32400,530610521083,43200,-122.11130996568991,47.81480935479051,530610521083.0
b2b-44526,27000,530330296013,43200,-122.16670085209188,47.35671657477904,530330296013.0
b2b-26292,39600,530330292061,43200,-122.22662093183628,47.42704538062167,530330292061.0
b2b-32524,36000,530530728001,43200,-122.64892865109543,47.09854950461892,530670122222.0
b2b-23471,34200,530530729061,43200,-122.55444246185414,47.0496292343141,530419703001.0
b2b-14182,28200,530330323133,43200,-122.0947753366989,47.67309761799182,530330323133.0
b2b-25061,30600,530330292061,43200,-122.24414018412115,47.42604763687701,530330292061.0
b2b-40292,30600,530330328003,43200,-121.10639363815314,47.709093633348175,530079611003.0
b2b-19644,35400,530330323132,43200,-122.08010764327905,47.68580697108544,530330323132.0
b2b-43294,33600,530330093003,43200,-122.33919661883269,47.560040808794554,530330093003.0
b2b-33108,26400,530530732004,43200,-122.26393595512288,46.919293381051865,20012.0
b2b-15455,36600,530330093002,43200,-122.32639970602456,47.59405367795679,530330093002.0
b2b-26245,40800,530330109001,43200,-122.31502408656256,47.53440018906854,530330109001.0
b2b-37995,19800,530610533021,43200,-122.23611815633497,48.26558464836242,530730102001.0
b2b-37207,33000,530610533014,43200,-122.37107080960885,48.24821342844997,530579519002.0
b2b-17224,20400,530330109002,43200,-122.32247218785824,47.54704195339411,530330109002.0
b2b-21744,28200,530610509003,43200,-122.34371351031962,47.78197480697623,530610509003.0
b2b-38324,23400,530330292061,43200,-122.22513682781825,47.431742240111376,530330292061.0
b2b-58883,33600,530530720002,43200,-122.53011056282544,47.12117414458373,530530720002.0
b2b-34690,24600,530530701001,43200,-121.54443576766793,47.120407059214166,20009.0
b2b-39632,25200,530610537001,43200,-121.312889303686,48.04692058012603,530630114003.0
b2b-35322,24600,530610533014,43200,-122.37107080960885,48.24821342844997,530579519002.0
b2b-9400,30600,530610533023,43200,-122.3247973536394,48.28842303954262,530579516003.0
b2b-51175,23400,530539400022,43200,-122.35897274041128,47.25278630859665,530539400022.0
b2b-48656,36000,530530729061,43200,-122.55444246185414,47.0496292343141,530670127203.0
b2b-25456,28200,530330263002,43200,-122.2856816774453,47.508048362944756,530330263002.0
b2b-1216,42000,530610413042,43200,-122.26057759139813,47.941298260467306,530610413042.0
b2b-868,28800,530610528032,43200,-122.17135826892655,48.11870455629089,530610528032.0
b2b-10186,34200,530610537001,43200,-121.312889303686,48.04692058012603,20067.0
b2b-35182,34800,530610419032,43200,-122.27154662328257,47.91765076600117,530610419032.0
b2b-17490,47400,530330226051,43200,-122.1509395783267,47.69681635069254,530330226051.0
b2b-48652,36000,530530729061,43200,-122.55444246185414,47.0496292343141,530670127203.0
b2b-22760,42000,530330303132,43200,-122.32580016693132,47.30057039165372,530330303132.0
b2b-20934,31800,530330292061,43200,-122.25434190952095,47.410919705651544,530330292061.0
b2b-2736,34800,530610521042,43200,-122.18455026910969,48.03360690205018,530610521042.0
b2b-48747,33000,530530732003,43200,-122.23625126082543,46.78419975013134,530110430001.0
b2b-17193,27600,530330322103,43200,-122.0148982206042,47.54409673016613,530330322103.0
b2b-39953,25200,530530732003,43200,-122.23625126082543,46.78419975013134,410510102001.0
b2b-38285,22200,530610533024,43200,-122.33627610658917,48.27544493019165,530579526003.0
b2b-35755,31200,530530726032,43200,-122.77438432253852,47.18832179399421,530670110001.0
b2b-13274,24000,530530729061,43200,-122.55444246185414,47.0496292343141,530419708004.0
b2b-57869,10800,530330284024,43200,-122.29771243052475,47.44348659314748,530330284024.0
b2b-45989,37800,530330256011,43200,-122.16278982777274,47.48823839711569,530330256011.0
b2b-24765,21000,530330284024,43200,-122.29828123802866,47.44416305383533,530330284024.0
b2b-14287,31800,530330292061,43200,-122.2224957570822,47.40693554525531,530330292061.0
b2b-2753,45000,530610519281,43200,-122.25710039124358,47.84750691380738,530610519281.0
b2b-10817,27600,530530732004,43200,-122.26393595512288,46.919293381051865,20012.0
b2b-52759,26400,530330292061,43200,-122.22662093183628,47.42704538062167,530330292061.0
b2b-1092,43800,530610413042,43200,-122.24305859196036,47.92757066917426,530610413042.0
b2b-32307,33000,530530732004,43200,-122.26393595512288,46.919293381051865,20010.0
b2b-60304,24000,530530732003,43200,-122.23625126082543,46.78419975013134,410510072021.0
b2b-43056,27000,530539400101,43200,-122.2937392122909,47.21027801893558,530539400101.0
b2b-2362,46200,530530726032,43200,-122.77438432253852,47.18832179399421,530670110001.0
b2b-12317,33000,530330093002,43200,-122.33219691994589,47.58728621425036,530330093002.0
b2b-1772,31200,530610504021,43200,-122.33536831703472,47.80100904384457,530610504021.0
b2b-10567,32400,530350811002,43200,-122.65365560350207,47.5622531720294,530350811002.0
b2b-51354,12000,530539400101,43200,-122.30426667290463,47.20446872209192,530539400101.0
b2b-6912,46200,530539400101,43200,-122.32177309013059,47.214407067630894,530539400101.0
b2b-14825,25800,530330292061,43200,-122.22628232631622,47.430527639595866,530330292061.0
b2b-48036,23400,530530731101,43200,-122.23682128056753,47.13388006962652,530530731101.0
b2b-3407,51000,530530732003,43200,-122.23625126082543,46.78419975013134,410510073001.0
b2b-16776,23400,530330228033,43200,-122.12371958474344,47.6463306257029,530330228033.0
b2b-51741,34800,530330264005,43200,-122.32949631231621,47.51836064387717,530330264005.0
b2b-10918,25200,530530732004,43200,-122.26393595512288,46.919293381051865,20010.0
b2b-13509,30600,530330326021,43200,-121.87323521310292,47.52706292104752,530330326021.0
b2b-23003,30000,530530626002,43200,-122.47752133911852,47.22659197877026,530530626002.0
